===== TOKENS =====
LIN:COL  TIPO           LEXEMA
5:1      GAMBIARRA      gambiarra
5:11     ABRE_CHAVE     {
6:5      REMENDO        remendo
6:13     ID             inteiro_1
6:23     ATRIB          =
6:25     NUM_INT        42
6:27     PONTO_VIRGULA  ;
7:5      REMENDO        remendo
7:13     ID             real_1
7:20     ATRIB          =
7:22     NUM_REAL       3.14
7:26     PONTO_VIRGULA  ;
8:5      REMENDO        remendo
8:13     ID             _ok
8:17     ATRIB          =
8:19     FIRME          firme
8:25     OU_LOGICO      ||
8:28     QUEBRADO       quebrado
8:37     E_LOGICO       &&
8:40     NAO_LOGICO     !
8:41     FIRME          firme
8:46     PONTO_VIRGULA  ;
9:5      SE             se
9:8      ABRE_PAREN     (
9:9      ID             inteiro_1
9:19     IGUAL_IGUAL    ==
9:22     NUM_INT        42
9:25     E_LOGICO       &&
9:28     ID             inteiro_1
9:38     DIFERENTE      !=
9:41     NUM_INT        0
9:42     FECHA_PAREN    )
9:44     ABRE_CHAVE     {
10:9     MOSTRA         mostra
10:15    ABRE_PAREN     (
10:16    TEXTO          "texto com \"aspas\", \\ e \t tab\n"
10:52    VIRGULA        ,
10:54    ID             inteiro_1
10:64    RESTO          %
10:66    NUM_INT        5
10:67    FECHA_PAREN    )
10:68    PONTO_VIRGULA  ;
11:5     FECHA_CHAVE    }
11:7     SENAO          senao
11:13    ABRE_CHAVE     {
12:9     PEGA           pega
12:13    ABRE_PAREN     (
12:14    ID             inteiro_1
12:23    FECHA_PAREN    )
12:24    PONTO_VIRGULA  ;
13:5     FECHA_CHAVE    }
14:5     ENQUANTO       enquanto
14:14    ABRE_PAREN     (
14:15    ID             real_1
14:22    MAIOR_IGUAL    >=
14:25    NUM_REAL       1.0
14:29    OU_LOGICO      ||
14:32    ID             inteiro_1
14:42    MENOR_IGUAL    <=
14:45    NUM_INT        0
14:47    OU_LOGICO      ||
14:50    ID             inteiro_1
14:60    MAIOR          >
14:62    NUM_INT        1
14:64    OU_LOGICO      ||
14:67    ID             inteiro_1
14:77    MENOR          <
14:79    NUM_INT        2
14:80    FECHA_PAREN    )
14:82    ABRE_CHAVE     {
15:9     ID             real_1
15:16    ATRIB          =
15:18    ID             real_1
15:25    DIVIDE         /
15:27    NUM_INT        2
15:29    MENOS          -
15:31    NUM_INT        1
15:33    MAIS           +
15:35    NUM_REAL       0.5
15:39    VEZES          *
15:41    MENOS          -
15:42    NUM_INT        1
15:43    PONTO_VIRGULA  ;
16:5     FECHA_CHAVE    }
17:1     FECHA_CHAVE    }
18:1     FIM

Léxico OK: 86 tokens (contando o FIM).
